,district,HouseType,Building,Object status,Location of the house,Object location,House type,The floor,Usable area,Land area,Parking,Year of reconstruction,Water,Transport,Energy efficiency of the building,Equipment,Lift,companyName,proximityIndex,Index,Built-up area,Store,Garage,Gas,Garden area,Year of approval,Swimming pool,Cena,Floor area,Indicator of energy efficiency of the building,Certificate of energy performance of the building,Barrier-free,Ceiling height,Housing costs,Number of flats,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,The date of the 1st inspection,The date of the 2nd inspection,Auction decree,Expert opinion.1,Pool area,Condition,Date of completion of construction,Soil construction,Sale start date,Inspection date,Inspection date to,Minimum purchase price,Share size,Number of owners,locationLat,locationLong,price,lokální plynové,heating_unknown,ústřední plynové,lokální tuhá paliva,jiné,lokální elektrické,ústřední tuhá paliva,ústřední elektrické,ústřední dálkové,podlahové,veřejná kanalizace,jímka,čov pro celý objekt,septik,garbage_unknown,trativod,230v,400v,electricity_unknown,120v,telecommunication_unknown,telefon,internet,kabelové rozvody,satelit,kabelová televize,ostatní,communication_unknown,asfaltová,neupravená,dlážděná,betonová,zpevněná,šotolina,štěrková,provize,právního,dph,poplatků,cena k jednání
9794,usti-nad-orlici,"rodinne-domy
",Cihlová,Velmi dobrý,V bloku,Centrum obce,Patrový,3,360,330.0,2.0,2022.0,Dálkový vodovod,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,759.8181818181819,10117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8520404,16.1436129,15490000,True,,,,,,,,,,True,,,,,,True,True,,,True,,,,,,,True,,,,,,,,,,,,
501,sokolov,"rodinne-domy
",Smíšená,Před rekonstrukcí,Rohový,Centrum obce,Patrový,2,378,486.0,1.0,,Místní zdroj,"Dálnice, Silnice, Autobus",Třída G - Mimořádně nehospodárná,0,0.0,Bidli,430.07142857142856,508,486.0,,,,,,,,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1218872,12.5377734,4490000,True,,,True,,,,,,,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,,,
3487,beroun,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,Okraj obce,Patrový,2,340,780.0,,,Dálkový vodovod,"Vlak, Dálnice, MHD, Autobus",,,,Reality Dosedělová,2964.3529411764707,3587,213.0,,1.0,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9208904,14.0657511,8390000,,True,,,,,,,,,True,,,,,,True,True,,,True,,,,,,,True,,,,,,,,,,,,
14749,karvina,"rodinne-domy
",Smíšená,Velmi dobrý,Samostatný,Klidná část obce,Patrový,3 včetně 1 podzemního,150,519.0,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0.0,M&M reality,921.4117647058824,15243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7886278,18.4407017,2990000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
11215,liberec,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,Okraj obce,Patrový,2,120,2026.0,2.0,,Dálkový vodovod,Silnice,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0.0,PrimaReal,1315.2,11579,,1,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.8736749,15.221633,7800000,,,,True,,,,True,,,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,,,
3348,benesov,"projekty-na-klic
",Cihlová,Projekt,,,Patrový,2,115,485.0,2.0,,Dálkový vodovod,"Dálnice, Silnice, Autobus",Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,0,,RK- MBrealinvest,1268.142857142857,3441,79.0,,1.0,,406.0,,,,115.0,"73,5999984741 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,49.8716556,14.8030012,7905135,,,,,True,,True,True,,,,,,,True,,True,,,,,,True,,,,,,True,,,,,,,,,,,
8987,zdar-nad-sazavou,"chalupy
",Cihlová,Velmi dobrý,,,Patrový,2,146,1204.0,,,Místní zdroj,"Silnice, MHD",Třída G - Mimořádně nehospodárná,,,YD HOME,2464.214285714286,9287,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5751463,16.3804806,4490000,,,True,,,,,,,,,,,True,,,,,True,,True,,,,,,,True,,,,,,,,True,,,,
10185,jicin,"rodinne-domy
",Cihlová,Dobrý,Samostatný,Klidná část obce,Patrový,,220,595.0,,,Dálkový vodovod,"Vlak, Dálnice, Silnice, Autobus",Třída G - Mimořádně nehospodárná,0,0.0,BEplan finanční plánování,653.7222222222222,10515,,110 m2,20.0,Plynovod,,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4425324,15.3546704,12000000,,,True,,,,,,,,True,,,,,,True,True,,,True,,,,,,,True,,,,,,,,True,True,True,True,True
289,karlovy-vary,"rodinne-domy
",Cihlová,Před rekonstrukcí,Samostatný,Klidná část obce,Patrový,2 včetně 1 podzemního,180,330.0,,,Místní zdroj,"Silnice, Autobus",Třída G - Mimořádně nehospodárná,Částečně,,Planetareality,2281.5,293,132.0,1,,,198.0,,,,,,,,,,,,,,,,,,,,,,,Rezervováno,,,,,,,,,50.1075975,13.0267344,1490000,,,,True,,,,True,,,,,,True,,,True,True,,,True,,,,,,,,,,,,True,,,,,,,
9153,chrudim,"rodinne-domy
",Cihlová,V rekonstrukci,Samostatný,,Přízemní,1,180,272.0,,,"Dálkový vodovod, Studna","Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,1,,Úspory a služby s.r.o.,2840.5,9455,110.0,6 m2,1.0,Plynovod,162.0,,,,160.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.9020427,15.5773573,2790000,,,,True,,,,,,,,,,,,True,True,True,,,,,True,,,,,,True,,,,,,,,,,,
